order_id,delay_days
9c8b7e134959999ac945ed2b29537c8b,35
fcf77320278b491829c6e5d767a3f20d,35
367085f34fdfc417d0087dfeab08ad73,35
c0740c543da48abb89b054604e7e9250,35
3ea310e0ca8eaa2d771f9ae489e6535e,35
8ff6ab5092f178654b69b95482c18556,35
3c901df8e80c646961877910379f4c1d,35
d0a13158f5857572b99f8f9c6be9cfa5,35
eea6beb3e8f3a7eafaf03ea844ae6021,35
a0bb89116fae61995bdade42a37fccba,35
3cf732ae03a74a50fc69cbfe6cb978fc,35
3f3e73711d749f4c39da2d5e55927d84,35
99c8af04316c292e23ca57d8917db2ad,35
0dacf04c5ad59fd5a0cc1faa07c34e39,35
21196c30747231d579091396af990f0e,35
0705d1148d3c3d342f1a8c8ad33e5d3f,35
d731191f76c39fe5c7d22edddb6836ba,35
e62c3201015050463bc2e3b6599a6bc5,35
51759d8321ae577fc2d577b976f8130f,35
d6f8b3535ac92252b48bd5e4c47a6593,35
36a179cea5792575e6b9682f13e44287,34
9d32c5c773eba34ff2453be229a53ca9,34
982477fb4aaaa4ce97851852d2a28e90,34
83359e7a49758eeed73d55e437b87341,34
944b3e66113a84e8e19010f5bf2701c4,34
cf5bae440125a8f7eccfde72d25e1913,34
3786374eb6f56d00e96bf7511002cd00,34
6cbad422849c13ec8f4517ee01a6c02b,34
89ab5609dfc901cc9824e0a62cbefe59,34
0d6cc2219ef268358eac3c49b47abca9,34
d8f4ac2b5cf577657a2165a7c75857ff,34
690199d6a2c51ff57c6b392d7680cbfd,33
b5195225c11fc325d686d24fe14eedbb,33
1777854e00599d581f88f45af1432949,33
aefe90553e50779cfa353170674e9d0f,33
eaae5bd20fb15d85aa673d9b7c0e8ca5,33
c83bfcbbc1e49ea80f7a77732efa3d48,33
7ee39ad7cefae28934df87c631928f88,33
dea56b3893564838aa0a8b56394f46a4,33
cdeec5de39a62045ad7edd0f00cc8858,33
b951bb66b451384026a3308f84f1eab9,33
d31bf98bc1f5a409da2c22085a8a7140,33
3fbd798d7e8c262456edce32abaee496,33
a22e1b3b7821386e3fbcd6d3c5c6c3c1,33
203acfb176ad05fd52bc951bd747ad91,33
9d3c48c87bfb7e8b574b4d375f882841,33
eedfea77a364bd7d7081632d66520b89,33
9c6a41b40091cf444dcd80fa62446a98,33
2227760b50f899205ac9d202e3d9d981,33
4505acb3759da6b9c7d79a80d29ab3bb,33
b73bbac6285251dbf2dd01842e0ce0de,33
443038d9ed6b74bc4f7bfa679ce81bf1,32
59e94c656aec3cee1b4a97e8324b47d2,32
f5691c2b1ca263490374d13d020bd950,32
f565b5276bd106d6f173c196568826d4,32
9d531c565e28c3e0d756192f84d8731f,32
8fc207e94fa91a7649c5a5dab690272a,32
790512cc033ced5f8fe1f9158eb8f2fe,32
03af60619b8abd880dd136ed837be800,32
4ef546f6f1165d23cd5134e9c5ab83d7,32
84db939b1ab9686533e9a06a0354beb6,32
84869ba3df14629b57ca40c491a842e6,32
267519bdbe13b2f237af57f3f1b86a9e,32
093b4a025c91a570d1f3b60d428b60a0,32
00335b686d693c7d72deeb12f8e89227,32
137135c30e53ddac60ef16b8ef6d4d54,32
a767f123fcb9ebe4eea953349dfd5a81,32
76df43658d302b7e5418f9c5b366b4bd,32
1e07ba4e9a6dafcecd0c46111e477e5c,32
0b7cb1c7ea62d95ba39702f4ae850108,31
01b330808c5819a6a3cb79b72f0b8288,31
3a3b0394c09dbf1c3f658c1fbe9adc31,31
a6a5d5673d42186a8b8b94ad29b59897,31
ab75125adb0d56e4a58e073b90b7b6c6,31
f947483d17043c99e4de12dacdbd763a,31
2805499c211b52dfc1e64a1349ef45e2,31
ac3a8f865ec67b649d66ed5149a41593,31
